river_bassin,location,quantity,p/100 m,lat,lon,city,feature,samples
rhone,pont-sous-terre,320,1600.0,46.2029598,6.13157672,Genève,rhone,1
rhone,preverenges,3476,354.0,46.51269,6.527657,Préverenges,lac-leman,12
rhone,preverenges-le-sout,268,268.0,46.5089049,6.5345263,Préverenges,lac-leman,1
rhone,quai-maria-belgia,3163,590.0,46.460156,6.836718,Vevey,lac-leman,12
rhone,rocky-plage,99,68.0,46.20973675,6.16495237,Genève,lac-leman,1
rhone,tiger-duck-beach,1717,1501.0,46.518256,6.582546,Saint-Sulpice (VD),lac-leman,3
rhone,tolochenaz,186,535.0,46.4975095,6.4828747,Tolochenaz,lac-leman,1
rhone,tschilljus,51,102.0,46.304399,7.580262,Salgesch,rhone,1
rhone,versoix,583,291.0,46.289194,6.1705693,Versoix,lac-leman,3
rhone,vidy-ruines,1000,1158.0,46.516221,6.596279,Lausanne,lac-leman,7
rhone,villa-barton,598,823.5,46.22235,6.1525,Genève,lac-leman,2
ticino,ascona-traghetto-spiaggia,255,941.0,46.153882,8.76848,Ascona,lago-maggiore,1
ticino,canale-saleggi,66,149.0,46.2006245,9.015853,Bellinzona,ticino,1
ticino,caprino,31,115.0,45.9879627,8.9862407,Lugano,lago-di-lugano,1
ticino,foce-del-cassarate,54,75.0,46.002411,8.961477,Lugano,cassarate,1
ticino,gerra-gambarogno,42,50.0,46.123366,8.785786,Gambarogno,lago-maggiore,1
ticino,golene-gudo,24,68.0,46.1706553,8.946657,Bellinzona,ticino,1
ticino,isole-di-brissago-porto,203,362.0,46.13276,8.73503,Brissago,lago-maggiore,1
ticino,lido,414,1002.0,46.0020045,8.9621558,Lugano,lago-di-lugano,1
ticino,lugano-centro,173,1077.0,46.002627,8.950724,Lugano,lago-di-lugano,1
ticino,magadino-lido,265,234.0,46.1493486,8.8556628,Gambarogno,lago-maggiore,2
ticino,pacha-mama-gerra,26,33.0,46.123473,8.783508,Gambarogno,lago-maggiore,1
ticino,rivapiana,463,374.0,46.172079,8.813255,Minusio,lago-maggiore,2
ticino,route-13,55,91.0,46.162521,8.7825791,Locarno,maggia,1
ticino,san-nazzaro-gambarogno,27,25.0,46.130443,8.798657,Gambarogno,lago-maggiore,1
ticino,sentiero-giro-del-golf-spiaggia,178,107.0,46.14577,8.79043,Ascona,lago-maggiore,4
ticino,spiaggia-parco-ciani,307,1329.0,46.00251,8.96082,Lugano,lago-di-lugano,1
ticino,via-brunari-spiaggia,52,172.0,46.20235,9.01691,Bellinzona,ticino,1
ticino,via-mirasole-spiaggia,45,93.0,46.19953,9.01493,Bellinzona,ticino,1
ticino,vira-gambarogno,286,85.0,46.143343,8.838759,Gambarogno,lago-maggiore,4
ticino,vira-spiaggia-left-of-river,65,282.0,46.1429,8.838407,Gambarogno,lago-maggiore,1
