survey_key,date,length,area,mac_plast_w,mic_plas_w,total_w,est_weight,num_parts_staff,num_parts_other,time_minutes,participants,project,is_2020,location,loc_date,water_name_slug,river_bassin,survey area
bielersee_vinelz_fankhausers2020-09-2614,2020-09-26,14,29.0,60.0,0.084,0.084,0.0,1,0,115,"[""HD""]",2020,True,bielersee_vinelz_fankhausers,"('bielersee_vinelz_fankhausers', '2020-09-26')",bielersee,aare,aare
bielersee_vinelz_fankhausers2020-10-3025,2020-10-30,25,44.0,75.0,0.0,0.005,0.0,1,0,80,"[""HD""]",2020,True,bielersee_vinelz_fankhausers,"('bielersee_vinelz_fankhausers', '2020-10-30')",bielersee,aare,aare
bielersee_vinelz_fankhausers2020-11-3032,2020-11-30,32,96.0,100.0,0.0,0.1,0.0,1,0,70,"[""HD""]",2020,True,bielersee_vinelz_fankhausers,"('bielersee_vinelz_fankhausers', '2020-11-30')",bielersee,aare,aare
bielersee_vinelz_fankhausers2020-12-3043,2020-12-30,43,121.0,210.0,0.147,1.08,0.0,1,0,135,"[""HD""]",2020,True,bielersee_vinelz_fankhausers,"('bielersee_vinelz_fankhausers', '2020-12-30')",bielersee,aare,aare
bielersee_vinelz_fankhausers2021-01-3016,2021-01-30,16,27.0,89.0,0.192,0.09,0.0,1,0,120,"[""HD""]",2020,True,bielersee_vinelz_fankhausers,"('bielersee_vinelz_fankhausers', '2021-01-30')",bielersee,aare,aare
bielersee_vinelz_fankhausers2021-02-2528,2021-02-25,28,73.0,140.0,0.001,0.48,0.0,1,0,210,"[""HD""]",2020,True,bielersee_vinelz_fankhausers,"('bielersee_vinelz_fankhausers', '2021-02-25')",bielersee,aare,aare
bielersee_vinelz_fankhausers2021-03-2517,2021-03-25,17,31.0,97.0,0.051,0.1,0.0,1,0,95,"[""HD""]",2020,True,bielersee_vinelz_fankhausers,"('bielersee_vinelz_fankhausers', '2021-03-25')",bielersee,aare,aare
boiron2020-11-0450,2020-11-04,50,100.0,65.0,0.013,0.1,0.0,1,0,85,"[""HD""]",2020,True,boiron,"('boiron', '2020-11-04')",lac-leman,rhone,rhone
brugg-be-buren-bsg-standort2020-09-2236,2020-09-22,36,75.0,120.0,0.0,1.905,0.0,1,0,90,"[""HD""]",2020,True,brugg-be-buren-bsg-standort,"('brugg-be-buren-bsg-standort', '2020-09-22')",aarenidau-buren-kanal,aare,aare
camp-des-peches2020-11-2037,2020-11-20,37,93.0,35.0,0.0,0.045,0.0,1,0,110,"[""HD""]",2020,True,camp-des-peches,"('camp-des-peches', '2020-11-20')",bielersee,aare,aare
camping-gwatt-strand2020-11-0625,2020-11-06,25,101.0,3020.0,0.01,3.2,0.0,1,0,95,"[""HD""]",2020,True,camping-gwatt-strand,"('camping-gwatt-strand', '2020-11-06')",thunersee,aare,aare
canale-saleggi2021-03-1644,2021-03-16,44,365.0,580.0,0.0,3.26,0.0,1,0,120,"[""HD""]",2020,True,canale-saleggi,"('canale-saleggi', '2021-03-16')",ticino,ticino,ticino
caprino2021-05-0628,2021-05-06,28,70.0,475.0,0.0,4.415,0.0,1,0,85,"[""PRCS""]",2020,True,caprino,"('caprino', '2021-05-06')",lago-di-lugano,ticino,ticino
cully-plage2020-06-2512,2020-06-25,12,48.0,45.0,0.0,0.045,0.0,1,0,58,"[""HD""]",2020,True,cully-plage,"('cully-plage', '2020-06-25')",lac-leman,rhone,rhone
cully-plage2021-02-0412,2021-02-04,12,30.0,60.0,0.0,0.17,0.0,1,0,85,"[""PRCS""]",2020,True,cully-plage,"('cully-plage', '2021-02-04')",lac-leman,rhone,rhone
delta-park2020-11-1935,2020-11-19,35,70.0,50.0,0.0,0.08,0.0,1,0,80,"[""HD""]",2020,True,delta-park,"('delta-park', '2020-11-19')",thunersee,aare,aare
erlach-camping-strand2021-03-2557,2021-03-25,57,374.0,48.0,0.001,0.05,0.0,1,0,155,"[""HD""]",2020,True,erlach-camping-strand,"('erlach-camping-strand', '2021-03-25')",bielersee,aare,aare
evole-plage2020-05-0262,2020-05-02,62,203.0,200.0,0.0,0.7,0.0,1,0,135,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-05-02')",neuenburgersee,aare,aare
evole-plage2020-06-0261,2020-06-02,61,265.0,100.0,0.0,0.8,0.0,1,0,110,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-06-02')",neuenburgersee,aare,aare
evole-plage2020-07-0150,2020-07-01,50,250.0,75.0,0.0,0.29,0.0,1,0,105,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-07-01')",neuenburgersee,aare,aare
evole-plage2020-07-3160,2020-07-31,60,300.0,160.0,0.0,0.23,0.0,1,0,120,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-07-31')",neuenburgersee,aare,aare
evole-plage2020-09-0252,2020-09-02,52,267.0,185.0,0.0,0.325,0.0,1,0,160,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-09-02')",neuenburgersee,aare,aare
evole-plage2020-10-0455,2020-10-04,55,197.0,320.0,0.0,0.65,0.0,1,0,160,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-10-04')",neuenburgersee,aare,aare
evole-plage2020-11-0366,2020-11-03,66,304.0,270.0,0.0,0.58,0.0,1,0,180,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-11-03')",neuenburgersee,aare,aare
evole-plage2020-12-0254,2020-12-02,54,319.0,130.0,0.0,0.34,0.0,1,0,100,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2020-12-02')",neuenburgersee,aare,aare
evole-plage2021-01-0460,2021-01-04,60,322.0,250.0,0.0,0.6,0.0,1,0,125,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2021-01-04')",neuenburgersee,aare,aare
evole-plage2021-02-0346,2021-02-03,46,193.0,330.0,0.02,0.61,0.0,1,0,180,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2021-02-03')",neuenburgersee,aare,aare
evole-plage2021-03-0467,2021-03-04,67,402.0,190.0,0.0,0.55,0.0,1,0,130,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2021-03-04')",neuenburgersee,aare,aare
evole-plage2021-04-0258,2021-04-02,58,294.0,210.0,0.0,0.57,0.0,1,0,190,"[""HD""]",2020,True,evole-plage,"('evole-plage', '2021-04-02')",neuenburgersee,aare,aare
flibach-river-right-bank2020-07-2017,2020-07-20,17,40.8,1.0,0.0,0.001,0.0,1,0,60,"[""HD""]",2020,True,flibach-river-right-bank,"('flibach-river-right-bank', '2020-07-20')",walensee,linth,linth
foce-del-cassarate2021-05-0670,2021-05-06,70,704.0,50.0,0.0,0.29,0.0,1,0,100,"[""HD""]",2020,True,foce-del-cassarate,"('foce-del-cassarate', '2021-05-06')",cassarate,ticino,ticino
gals-reserve2020-05-3018,2020-05-30,18,36.0,380.0,0.001,0.4,0.0,1,0,60,"[""HD""]",2020,True,gals-reserve,"('gals-reserve', '2020-05-30')",bielersee,aare,aare
gals-reserve2020-08-2820,2020-08-28,20,28.0,25.0,0.0,0.03,0.0,1,0,60,"[""HD""]",2020,True,gals-reserve,"('gals-reserve', '2020-08-28')",bielersee,aare,aare
gasi-strand2020-04-2438,2020-04-24,38,119.0,200.0,0.0,0.22,0.0,1,0,105,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-04-24')",walensee,linth,linth
gasi-strand2020-05-1858,2020-05-18,58,348.0,200.0,0.001,0.2,0.0,1,0,100,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-05-18')",walensee,linth,linth
gasi-strand2020-06-2082,2020-06-20,82,418.0,95.0,0.287,0.105,0.0,1,1,120,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-06-20')",walensee,linth,linth
gasi-strand2020-07-2090,2020-07-20,90,225.0,55.0,0.0,0.07,0.0,1,0,110,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-07-20')",walensee,linth,linth
