location,latitude,longitude,city,river_bassin,population,G112,G117,G178,G200,G27,G30,G67,G74,G89,G95,Gfoam,Gfrags,dt
brugg-be-buren-bsg-standort,47.12222,7.28141,Brügg,aare,4390.0,0.0,0.0,0.0,36.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,102.0
camp-des-peches,47.052812,7.074053,Le Landeron,aare,4645.0,0.0,0.0,0.0,0.0,11.0,27.0,19.0,0.0,3.0,0.0,8.0,22.0,145.0
camping-gwatt-strand,46.72714,7.62962,Thun,aare,43734.0,0.0,0.0,0.0,8.0,24.0,8.0,12.0,0.0,0.0,4.0,16.0,24.0,172.0
canale-saleggi,46.2006245,9.015853,Bellinzona,ticino,43220.0,0.0,0.0,7.0,11.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0,149.0
caprino,45.9879627,8.9862407,Lugano,ticino,63185.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,4.0,11.0,0.0,0.0,11.0,115.0
cully-plage,46.4888866,6.7413961,Bourg-en-Lavaux,rhone,5369.0,4.0,0.0,0.0,21.0,33.5,8.0,0.0,8.5,25.0,45.5,29.5,125.0,501.5
delta-park,46.720078,7.635304,Spiez,aare,12812.0,0.0,0.0,3.0,0.0,9.0,9.0,14.0,3.0,0.0,0.0,60.0,63.0,200.0
erlach-camping-strand,47.047159,7.097854,Erlach,aare,1385.0,0.0,0.0,2.0,2.0,44.0,5.0,0.0,0.0,2.0,12.0,2.0,49.0,183.0
evole-plage,46.989477,6.92392,Neuchâtel,aare,33489.0,0.0,0.0,6.5,28.5,42.0,12.0,6.5,2.0,4.5,2.0,1.0,20.5,267.5
flibach-river-right-bank,47.133742,9.105461,Weesen,linth,1724.0,0.0,0.0,0.0,0.0,47.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,131.0
foce-del-cassarate,46.002411,8.961477,Lugano,ticino,63185.0,0.0,0.0,4.0,9.0,20.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,75.0
gals-reserve,47.0462719,7.0850075,Gals,aare,827.0,0.0,16.5,5.5,7.5,8.5,12.5,2.5,0.0,0.0,5.5,0.0,28.5,128.0
gasi-strand,47.128442,9.110831,Weesen,linth,1724.0,0.0,0.5,1.0,0.5,18.0,5.5,3.5,3.5,0.5,0.5,8.5,9.5,85.0
gerra-gambarogno,46.123366,8.785786,Gambarogno,ticino,5192.0,0.0,0.0,0.0,14.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,50.0
golene-gudo,46.1706553,8.946657,Bellinzona,ticino,43220.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,68.0
grand-clos,46.387746,6.843686,Saint-Gingolph,rhone,982.0,3.0,18.0,3.0,3.0,13.0,77.0,92.0,58.0,85.0,125.0,334.0,256.0,1771.0
gummligrabbe,46.98929,7.25073,Kallnach,aare,1920.0,0.0,0.0,0.0,0.0,0.0,8.0,58.0,0.0,0.0,0.0,0.0,0.0,107.0
hafeli,46.6902834,7.8985922,Bönigen,aare,2536.0,3.5,0.0,0.0,0.0,118.5,6.0,15.0,10.0,4.5,5.5,6.5,101.0,317.5
hauterive-petite-plage,47.010797,6.980304,Hauterive (NE),aare,2623.0,0.0,0.0,2.0,0.0,95.0,10.0,2.0,0.0,5.0,21.0,0.0,102.0,296.0
impromptu_cudrefin,46.964496,7.027936,Cudrefin,aare,1633.0,0.0,0.0,0.0,25.0,0.0,8.0,8.0,33.0,0.0,0.0,75.0,17.0,223.0
isole-di-brissago-porto,46.13276,8.73503,Brissago,ticino,1737.0,2.0,0.0,14.0,158.0,9.0,9.0,14.0,2.0,5.0,2.0,14.0,19.0,362.0
jona-river-rastplatz,47.2161,8.84443,Rapperswil-Jona,linth,26999.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0
kusnachter-dorfbach-tobelweg-1-4,47.31777,8.588258,Küsnacht (ZH),linth,14397.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
la-pecherie,46.4639187,6.3857321,Allaman,rhone,442.0,0.0,0.0,5.0,0.0,31.0,62.0,33.0,9.0,13.0,81.0,22.0,151.0,716.0
la-petite-plage,46.785054,6.656877,Yverdon-les-Bains,aare,30157.0,3.0,0.5,0.5,4.5,2.5,5.0,1.5,1.0,0.0,2.0,1.5,21.0,91.0
la-thiele_le-mujon_confluence,46.77534,6.6309,Yverdon-les-Bains,aare,30157.0,0.0,16.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,10.0,0.0,46.0
