OBJECTID,EDGELEVEL,TOLL,LTN,MED,RST,UUID,OBJVAL,left,top,right,bottom,length,hex_id
"39790",1,Keine Gebühr,"2",Without median,Paved,{0DA45D66-C06F-4E0E-9DAF-47057D392856},NebenStr3,2601904.416809007059783,1201187.262499999953434,2602481.767078196629882,1200687.262499999953434,"270","119088"
"39790",1,Keine Gebühr,"2",Without median,Paved,{0DA45D66-C06F-4E0E-9DAF-47057D392856},NebenStr3,2601904.416809007059783,1200687.262499999953434,2602481.767078196629882,1200187.262499999953434,"147","119089"
"39791",2,Keine Gebühr,"2",Without median,Paved,{EE6106DA-D118-40D3-9D26-474F869FFF56},NebenStr3,2601904.416809007059783,1200187.262499999953434,2602481.767078196629882,1199687.262499999953434,"16","119090"
"39791",2,Keine Gebühr,"2",Without median,Paved,{EE6106DA-D118-40D3-9D26-474F869FFF56},NebenStr3,2602337.429510898888111,1200437.262499999953434,2602914.779780088923872,1199937.262499999953434,"100","119532"
"39791",2,Keine Gebühr,"2",Without median,Paved,{EE6106DA-D118-40D3-9D26-474F869FFF56},NebenStr3,2602337.429510898888111,1199937.262499999953434,2602914.779780088923872,1199437.262499999953434,"62","119533"
"39792",1,Keine Gebühr,"2",Without median,Paved,{1C544AD1-B184-4E97-8E1E-8381B7AB6733},NebenStr3,2601904.416809007059783,1200187.262499999953434,2602481.767078196629882,1199687.262499999953434,"181","119090"
"39792",1,Keine Gebühr,"2",Without median,Paved,{1C544AD1-B184-4E97-8E1E-8381B7AB6733},NebenStr3,2601904.416809007059783,1199687.262499999953434,2602481.767078196629882,1199187.262499999953434,"97","119091"
"39793",1,Keine Gebühr,"2",Without median,Paved,{FF8369BE-0469-4551-BAAE-8796717C8B72},NebenStr3,2598007.302491976879537,1196937.262499999953434,2598584.652761166449636,1196437.262499999953434,"368","115119"
"39795",1,Keine Gebühr,"2",Without median,Paved,{AC49A7CC-86B0-41AD-B9F0-B3FD42992AB8},NebenStr3,2600605.378703330177814,1197937.262499999953434,2601182.728972519747913,1197437.262499999953434,"109","117769"
"39796",1,Keine Gebühr,"2",Without median,Paved,{60C254CB-1416-4451-A3FF-97D6F8C7ED02},NebenStr3,2600172.366001438349485,1197687.262499999953434,2600749.716270627453923,1197187.262499999953434,"94","117327"
"39796",1,Keine Gebühr,"2",Without median,Paved,{60C254CB-1416-4451-A3FF-97D6F8C7ED02},NebenStr3,2600605.378703330177814,1197937.262499999953434,2601182.728972519747913,1197437.262499999953434,"31","117769"
"39799",1,Keine Gebühr,"2",Without median,Paved,{1E65927E-481C-41C6-B7C2-3E3AE918A4C0},NebenStr3,2600605.378703330177814,1199437.262499999953434,2601182.728972519747913,1198937.262499999953434,"152","117766"
"39801",1,Keine Gebühr,"2",Without median,Paved,{70314977-CDD4-46FE-8C66-2CFF33A8E4A3},NebenStr3,2608832.620039282832295,1196187.262499999953434,2609409.970308471936733,1195687.262499999953434,"464","126170"
"39802",1,Keine Gebühr,"2",Without median,Paved,{C4961A15-09E0-4453-B2EA-65DA6C427D5F},NebenStr3,2599739.353299546055496,1203437.262499999953434,2600316.703568735625595,1202937.262499999953434,"35","116874"
"39802",1,Keine Gebühr,"2",Without median,Paved,{C4961A15-09E0-4453-B2EA-65DA6C427D5F},NebenStr3,2599739.353299546055496,1202937.262499999953434,2600316.703568735625595,1202437.262499999953434,"513","116875"
"39802",1,Keine Gebühr,"2",Without median,Paved,{C4961A15-09E0-4453-B2EA-65DA6C427D5F},NebenStr3,2600172.366001438349485,1203187.262499999953434,2600749.716270627453923,1202687.262499999953434,"82","117316"
"39802",1,Keine Gebühr,"2",Without median,Paved,{C4961A15-09E0-4453-B2EA-65DA6C427D5F},NebenStr3,2600172.366001438349485,1202687.262499999953434,2600749.716270627453923,1202187.262499999953434,"427","117317"
"39802",1,Keine Gebühr,"2",Without median,Paved,{C4961A15-09E0-4453-B2EA-65DA6C427D5F},NebenStr3,2600172.366001438349485,1202187.262499999953434,2600749.716270627453923,1201687.262499999953434,"193","117318"
"39804",1,Keine Gebühr,"2",Without median,Paved,{52EFA612-B609-4FD4-8AA2-C4F8D6902F38},NebenStr3,2600605.378703330177814,1199437.262499999953434,2601182.728972519747913,1198937.262499999953434,"355","117766"
"39804",1,Keine Gebühr,"2",Without median,Paved,{52EFA612-B609-4FD4-8AA2-C4F8D6902F38},NebenStr3,2601038.391405222471803,1199187.262499999953434,2601615.741674412041903,1198687.262499999953434,"398","118208"
"39805",1,Keine Gebühr,"2",Without median,Paved,{4F1E1EDB-D9E5-4464-B70E-271E381F2234},NebenStr3,2603203.454914683476090,1197937.262499999953434,2603780.805183873046190,1197437.262499999953434,"22","120421"
